id,client_code,name,business_registration_number,owner_name,address,remarks,status,created_at,updated_at
9,"",의료법인 춘혜의료재단 명지춘혜재활병원,108-82-08035,임진,"서울특별시 영등포구 대림로 223, (대림동, 명지춘혜병원)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
10,"",에스앤유서울병원,157-92-00844,이상훈,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 3,4,5,6층 (마곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
11,"",바른길정형외과의원,279-96-01817,길경민,"인천광역시 부평구 열우물로 75, 지하1층,지상2~5층 (십정동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
12,"",중계퍼스트정형외과의원,546-95-01549,김태환,"서울특별시 노원구 동일로 1308, 정안프라자 3층 (중계동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
13,"",서울삼성호매실요양병원,893-92-00275,서상혁,"경기도 수원시 권선구 금곡로118번길 10, 일담타워 4~6층 (금곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
14,"",평택삼성요양병원,278-99-00757,하창영,"경기도 평택시 비전2로 194, 소사벌 어반테라스 1동 5층~9층층 (비전동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
15,"",단샘의원,127-92-54640,장범순,"경기도 양주시 고읍로 10, (고읍동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
16,"",삼성바른내과의원(길음),337-90-01450,함철배,"서울특별시 성북구 정릉로 364, 3층 (돈암동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
17,"",삼성바른내과의원(중계),678-97-00365,유수현,"서울특별시 노원구 한글비석로 270, 스카이타워 5층 (중계동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
18,"",삼성편한내과의원(상계),590-92-01337,유동훈,"서울특별시 노원구 동일로 1380, 상계동 국민은행 4층 (상계동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
19,"",서울연세의원(동대문),457-95-01157,유태욱,"서울특별시 동대문구 이문로 188, 2,3층 (이문동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
20,"",서울위(WE)편한내과의원,896-91-00883,양성욱,"경기도 용인시 수지구 성복2로 92, 402호 (성복동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
21,"",성모속튼튼내과의원,150-93-00914,김지훈,"경기도 포천시 소흘읍 봉솔로5길 27, 2층 202호","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
22,"",바른내과의원(의정부),127-96-13948,조성철,"경기도 의정부시 평화로 647, 미건메디컬프라자 109~114호, 204~205호 (의정부동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
23,"",양주삼성내과의원,212-91-99841,문수영,"경기도 양주시 옥정로 214, 5층 502호 (옥정동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
24,"",이병철내과의원,127-90-72741,이병철,"경기도 양주시 고암길 306-77, (덕정동, 황금프라자 303호)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
25,"",한사랑의원,401-90-15274,오민환,"서울특별시 동대문구 한천로 55, 2, 3 층 (답십리동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
26,"",한우식내과의원,564-92-01925,한우식,"서울특별시 광진구 천호대로 517, 201,202호 (중곡동, 리마크빌 군자)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
27,"",덕소엔비의원,132-27-40252,엄중호,"경기도 남양주시 와부읍 덕소로 93, 5층 (희빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
