id,pharmacy_code,name,business_registration_number,address,remarks,status,created_at,updated_at
8,"",시티프라자약국,131-29-56323,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
9,"",센트럴시티약국,311-74-00575,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
10,"",가정약국,769-03-01583,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
11,"",성수오렌지약국,206-25-54960,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
12,"",메디팜보배약국,218-07-03664,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
13,"",덕은온누리약국,642-18-01846,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
14,"",참솔온누리약국,509-22-12306,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
15,"",삼성맑은내과의원(중구),221-93-32829,"서울특별시 중구 퇴계로 385, 준타워 7층 (흥인동)","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
16,"",7층은약국,670-13-02296,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
17,"",타워약국,620-65-00540,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
18,"",굿모닝약국,620-03-25669,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
19,"",메디칼온누리약국,659-27-00610,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
20,"",더존약국,139-03-15888,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
21,"",바우약국,406-43-00281,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
22,"",배곧다온약국,205-55-24475,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
23,"",배곧정문약국,422-15-00242,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
24,"",의료법인서준의료재단예천권병원,228-82-02276,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
25,"",수정온누리약국,504-15-40037,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
26,"",메디팜인제약국,512-04-84312,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
27,"",든든약국,751-68-00559,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
28,"",행복이열리는건강약국,206-17-81517,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
29,"",원미쎈타약국,130-25-58261,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
30,"",나은누리약국,108-37-51610,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
31,"",정화약국,132-05-66148,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
32,"",더푸른약국,243-04-02786,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
33,"",정다운약국,222-53-00310,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
34,"",태광약국,611-03-29657,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
35,"",데이파크약국,129-33-18546,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
36,"",이레약국,780-23-00842,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
37,"",해양약국,136-53-00945,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
38,"",김약국,132-07-34790,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
39,"",한중약국,108-20-14150,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
40,"",참바로약국,206-17-27100,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
41,"",연주약국,146-08-01320,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
42,"",한사랑약국,360-09-02714,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
43,"",으뜸약국,616-32-01178,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
44,"",장현대학약국,132-17-35726,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
45,"",정문약국,243-24-01432,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
46,"",굿모닝건강약국,123-20-40021,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
47,"",대한병원,210-82-06271,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
48,"",우리대한약국,238-06-01057,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
49,"",라라온누리약국,208-07-78208,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
50,"",로뎀약국,357-07-01660,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
51,"",수성약국,424-15-02061,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
52,"",희망온누리약국,604-24-61862,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
53,"",동인약국,135-23-99225,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
54,"",플러스약국,298-34-01218,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
55,"",왕약국,138-04-69694,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
56,"",샘깊은약국,119-01-58837,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
57,"",삼성약국,886-10-01718,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
58,"",서울드림약국,589-13-02480,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
59,"",대림미소약국,863-01-01839,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
60,"",온누리대광약국,109-01-69472,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
61,"",4층약국,714-66-00589,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
62,"",선한약국,652-01-01995,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
63,"",민약국,138-03-44721,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
64,"",다나약국,729-29-00742,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
65,"",밀알약국,210-13-88092,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
66,"",신일병원,210-96-07113,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
67,"",함박약국,445-08-02702,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
68,"",꿈빛온누리약국,464-06-01092,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
69,"",금정당약국,877-15-00874,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
70,"",하박사약국,697-79-00061,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
71,"",신진약국,123-32-87091,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
72,"",리본약국,333-56-00396,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
73,"",바다약국,835-02-01243,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
74,"",솔약국,408-22-66945,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
75,"",군포종합약국,503-37-12452,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
76,"",조은약국,521-55-00472,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
77,"",다온약국,731-26-00797,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
78,"",뉴그랜드약국,206-16-57742,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
79,"",서진약국,118-01-81922,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
80,"",옥광약국,113-12-43593,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
81,"",엄마약국,118-05-28134,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
82,"",의료법인 춘혜의료재단 명지춘혜재활병원,108-82-08035,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
83,"",밸런스약국,820-48-00537,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
84,"",마음약국,726-75-00416,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
85,"",새하늘약국,416-05-90925,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
86,"",서울삼성호매실요양병원,893-92-00275,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
87,"",백약국,285-30-01951,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
88,"",평택삼성요양병원,278-99-00757,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
89,"",민들레약국,662-36-00656,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
90,"",메디칼우리약국,458-15-01838,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
91,"",메디칼수정약국,134-15-46230,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
92,"",사랑약국,210-04-45451,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
93,"",하늘약국,205-55-64079,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
94,"",샘약국,868-16-00955,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
95,"",보룡약국,569-74-00437,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
96,"",참말로친절한약국,501-28-79756,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
